動画ID,タイトル,投稿日（日本時間）,投稿チャンネル,再生数,タグ
LAaqqTrqxPk,【MV】陽だまりデイズ／Hanon×Kotoha×めぐ【まるもち部】,2023/08/12,MARUMOCHI from HoneyWorks,121551,"ハコニワリリィ,Hanon,Kotoha"
-vSu7x0i3Xs,寝起きヤシの木 / Yukopi【covered by Kotoha】,2023/08/10,Kotoha,190911,Kotoha
uzCVDvQ1_1E,デーモンロード / Kanaria【Covered by Kotoha】,2023/08/01,Kotoha,390939,Kotoha
9sECC21Ce98,Idol (「アイドル」English Ver. )／YOASOBI 【Covered by Hanon】,2023/07/29,Hanon,128335,Hanon
D5f_AQsl3c8,セブンティーン / YOASOBI【covered by Kotoha】,2023/07/28,Kotoha,570088,Kotoha
_TdiphdUzmI,泡沫の夢／ハコニワリリィ【Music Video】,2023/07/07,MARUMOCHI from HoneyWorks,114208,"ハコニワリリィ,Hanon,Kotoha"
OyrbedPzE6c,とても素敵な六月でした / Eight【Covered by Kotoha】,2023/06/30,Kotoha,873292,Kotoha
20DjcAiXG3U,ザムザ／てにをは【Hanon×konoco】,2023/06/30,Hanon,363309,"ハコニワリリィ,Hanon,Kotoha"
fN8EVe43DdA,セブンティーン／YOASOBI【Covered by Hanon】,2023/06/28,Hanon,360289,Hanon
OcckI5Bgvog,ハサミガール / ハコニワリリィ（Kotoha）【Music Video】,2023/06/16,MARUMOCHI from HoneyWorks,174719,"ハコニワリリィ,Hanon,Kotoha"
_hERKC5m7Gc,ハルカ / YOASOBI【Covered by Kotoha】,2023/06/10,Kotoha,1795408,Kotoha
GqX34RCRQfI,【原神】綺良々 - TAILS feat. Kotoha,2023/06/08,Project Mons,158701,Kotoha
By7HSOf3tPk,ぎじれんあい／Hanon×Kotoha ver.,2023/06/08,MARUMOCHI from HoneyWorks,142269,"ハコニワリリィ,Hanon,Kotoha"
ucpncfuqfvs,シネマ / Ayase【Covered by Kotoha】,2023/05/31,Kotoha,1186123,Kotoha
zaN2dUFYNnA,きらきらスイーツパーチー／ハコニワリリィ【Music Video】,2023/05/26,MARUMOCHI from HoneyWorks,61565,"ハコニワリリィ,Hanon,Kotoha"
GWTEoiuu83o,春を待つ／Islet feat.倚水【Covered by Hanon】,2023/05/24,Hanon,142454,Hanon
j19Ykiee8jQ,ましろ色シンフォニー SANA EDITION OPムービー,2023/05/19,ぱれっとチャンネル,1114323,Kotoha
A7KgiPfb1q4,かわいい私の片想い／音莉飴【Hanon×Kotoha ver.】,2023/05/19,MARUMOCHI from HoneyWorks,124561,"ハコニワリリィ,Hanon,Kotoha"
8fP7LPrysFI,強風オールバック / Yukopi【Covered by Kotoha】,2023/5/15,Kotoha,799035,Kotoha
dv4WEYzyQE8,Precious Days／Hanon【爆裂！スイーツランドEDテーマ 】,2023/5/10,Hanon,52884,Hanon
ZuPSx3EiEwQ,ナイショの話／ClariS【Hanon×Kotoha】,2023/5/7,MARUMOCHI from HoneyWorks,351070,"ハコニワリリィ,Hanon,Kotoha"
XJZp9FKZ9uo,irony／ClariS【Hanon×Kotoha】,2023/05/06,MARUMOCHI from HoneyWorks,248421,"ハコニワリリィ,Hanon,Kotoha"
nN8Rxur8M3M,コネクト／ClariS【Hanon×Kotoha】,2023/5/5,MARUMOCHI from HoneyWorks,643806,"ハコニワリリィ,Hanon,Kotoha"
LQlpqCKUxwI,Sizuk/俊龍 - 夏を呼ぶ声［Music Video］,2023/5/3,Sizuk / 俊龍,117400,Kotoha
9lS6Ih22EGE,最強☆ソング／Hanon×Kotoha ver.,2023/4/30,MARUMOCHI from HoneyWorks,261366,"ハコニワリリィ,Hanon,Kotoha"
eN0_me2cCSI,アイドル / YOASOBI【Covered by Kotoha】,2023/4/28,Kotoha,1279001,Kotoha
wG2LNFrNjG0,アイドル／YOASOBI【Covered by Hanon】,2023/4/28,Hanon,890562,Hanon
OiuH7wPWhWA,火曜日はチューデイ -another story- / HoneyWorks【Covered by Kotoha】,2023/04/25,Kotoha,153833,Kotoha
xjcDlUVMEJo,東京サニーパーティー ♡ 星川サラ×Hanon×Kotoha【歌ってみた】,2023/04/23,星川サラ / Sara Hoshikawa,396789,"ハコニワリリィ,Hanon,Kotoha"
rWNauq0MPNY,Paradise／NiziU【Covered by Hanon】,2023/04/19,Hanon,118064,Hanon
RUh3CO2GwEE,ふわり / MIMI【Covered by Hanon×Kotoha】,2023/04/18,Kotoha,850093,"ハコニワリリィ,Hanon,Kotoha"
DSL4ktjoF_U,#超絶かわいい／HoneyWorks【Covered by Hanon】,2023/04/14,Hanon,126674,Hanon
Qx7vSVGw11Y,男の子の目的は何？ / HoneyWorks【Covered by Kotoha】,2023/04/13,Kotoha,497865,Kotoha
EH9XDJMLAlE,マサキじゃないけど好き／ハコニワリリィ【Music Video】,2023/04/08,MARUMOCHI from HoneyWorks,689171,"ハコニワリリィ,Hanon,Kotoha"
nDrRXoty360,#超絶かわいい / HoneyWorks【Covered by Kotoha】,2023/04/05,Kotoha,340127,Kotoha
-DnF2_ha-14,男の子の目的は何？／HoneyWorks【Covered by Hanon】,2023/03/24,Hanon,140021,Hanon
7cGrVsCxsNE,妄想アスパルテーム / picco【Covered by Kotoha】,2023/03/16,Kotoha,402066,Kotoha
0XE4wRIoy4s,アルジャーノン／ヨルシカ【Covered by Hanon】,2023/03/13,Hanon,154597,Hanon
Mgy2mM1ptss,【誕生日記念】LIFE／傘村トータ【Covered by Hanon】,2023/03/06,Hanon,267185,Hanon
NO-CQAlw3zg,木曜日のスキャンダル(feat. Hanon)／HoneyWorks,2023/03/03,Hanon,192227,Hanon
tBEfRiFpXhw,僕らのRTA／Hanon×Kotoha×めぐ【まるもち部】,2023/02/18,MARUMOCHI from HoneyWorks,198591,"ハコニワリリィ,Hanon,Kotoha"
0o3jSCLrunI,お呪い / なきそ【Covered by Kotoha】,2023/02/17,Kotoha,509853,Kotoha
HT13fpXGBbk,秘密のバレンタイン／Hanon×Kotoha【Music Video】,2023/02/12,MARUMOCHI from HoneyWorks,370839,"ハコニワリリィ,Hanon,Kotoha"
1qyXh0c5RPc,この世界の楽しみ方／LIP×LIP【Hanon×Kotoha ver.】,2023/02/10,Hanon,248115,"ハコニワリリィ,Hanon,Kotoha"
M0mp8KQN-88,デビルじゃないもん / DECO*27 x ピノキオピー【Hanon×Kotoha】,2023/02/05,Kotoha,696191,"ハコニワリリィ,Hanon,Kotoha"
c2AmLIceIM8,うちら、恋人宣言！ / HoneyWorks (Kotoha Ver.),2023/02/04,Kotoha,335506,Kotoha
RuDfU0TnIpQ,うちら、恋人宣言！／HoneyWorks【Hanon ver.】,2023/02/04,Hanon,136527,Hanon
GY5QlOBfwJY,アイワナムチュー / MAISONdes【Covered by Kotoha】,2023/02/03,Kotoha,695075,Kotoha
ALaKfqIhdyE,ホワイトノイズ／Official髭男dism【Covered by Hanon】,2023/02/01,Hanon,417456,Hanon
PgCc3OMrS8c,今はいいんだよ。 / MIMI【Covered by Kotoha】,2023/01/24,Kotoha,39579370,Kotoha
OhSjWdZwgaQ,ちゅ、多様性。／ano【Covered by Hanon】,2023/1/23,Hanon,373408,Hanon
VloQgQfTM_A,リベリオン / Ado【Hanon×Kotoha】,2023/1/16,Kotoha,383581,"ハコニワリリィ,Hanon,Kotoha"
3Kr4Vr7lmKU,トウキョウ・シャンディ・ランデヴ / MAISONdes【Covered by Kotoha】,2022/12/25,Kotoha,1005559,Kotoha
N2714obad0o,クリスマスイブ／優里【Covered by Hanon】,2022/12/24,Hanon,194137,Hanon
amJqPRAClRM,Last Christmas (Remix)／音莉飴×ハコニワリリィ,2022/12/23,〚 音莉飴 〛official,92336,"ハコニワリリィ,Hanon,Kotoha"
_4wRPVOihBA,Subtitle／Official髭男dism【Covered by Hanon】,2022/12/22,Hanon,1462118,Hanon
snFzxdWiO_k,ハッピークリスマスパーティ／Hanon×Kotoha【Music Video】,2022/12/21,MARUMOCHI from HoneyWorks,166438,"ハコニワリリィ,Hanon,Kotoha"
u2qNfxs2nzc,花の塔／さユり【Covered by Hanon×Kotoha】,2022/12/18,Hanon,3762074,"ハコニワリリィ,Hanon,Kotoha"
_Zp_cnl8ubc,世界一の友人だったあなたへ／ハコニワリリィ【Music Video】,2022/12/11,MARUMOCHI from HoneyWorks,1841900,"ハコニワリリィ,Hanon,Kotoha"
nsl8bKejG7I,可愛くてごめん／HoneyWorks 歌ってみた【Hanon ver.】,2022/12/01,Hanon,469329,Hanon
Wx-5gsuzyZs,可愛くてごめん / HoneyWorks (Kotoha Ver.),2022/11/28,Kotoha,1626228,Kotoha
6vqG32gEmzA,愛するように / MIMI【Covered by Kotoha】,2022/11/13,Kotoha,22639114,Kotoha
GAXBbaE0wao,Overdose / なとり【Covered by Kotoha】,2022/11/03,Kotoha,739296,Kotoha
ayvF7i3OHoM,新時代／Ado（ウタ from ONE PIECE FILM RED）【Covered by Hanon】,2022/11/01,Hanon,383582,Hanon
12fS8zDgEiY,僕が最高だから／ハコニワリリィ【Music Video】,2022/10/22,MARUMOCHI from HoneyWorks,1940449,"ハコニワリリィ,Hanon,Kotoha"
ShEat9Vmsio,恋愛偏差値上昇中！ ／P丸様。【Covered by Kotoha】,2022/10/18,Kotoha,542864,Kotoha
EhjzB_VhU9s,ニゲルガカチ / ハコニワリリィ（Hanon）【Music Video】,2022/10/14,MARUMOCHI from HoneyWorks,52306,Hanon
KWHJ6DkYvmo,どげざ / ハコニワリリィ（Kotoha）【Music Video】,2022/10/13,MARUMOCHI from HoneyWorks,128611,Kotoha
CXf62g4786Q,ウタカタララバイ／Ado（ウタ from ONE PIECE FILM RED） 【Covered by Hanon】,2022/10/11,Hanon,681367,Hanon
YEt1goX4Cpo,初恋日記 / 香椎モイミ【Covered by Kotoha】,2022/10/10,Kotoha,652722,Kotoha
DW9Q9u7gSKw,絶頂讃歌 / 和ぬか【Covered by Kotoha】,2022/10/04,Kotoha,1141516,Kotoha
a8EVRVcYZxM,可愛いねって言われちゃった(Kotoha Ver.)／HoneyWorks,2022/09/29,Kotoha,183689,Kotoha
OPO2zRrnSZY,虹とニラ／Hanon ver.,2022/09/25,Hanon,62120,Hanon
8Lo7G1XHWck,夏、透明な青に惹かれて。／ハコニワリリィ【Music Video】,2022/09/22,MARUMOCHI from HoneyWorks,130363,"ハコニワリリィ,Hanon,Kotoha"
boabmCHlmBw,ブラック★ロックシューター / ryo (supercell)【Covered by Kotoha】,2022/09/19,Kotoha,1125141,Kotoha
7NYgCS2cIdI,ブラック★ロックシューター／ryo（supercell）【Covered by Hanon】,2022/09/19,Hanon,522569,Hanon
lfTZrytYDg0,虹とニラ／ハコニワリリィ(Kotoha)【Music Video】,2022/09/17,MARUMOCHI from HoneyWorks,101946,Kotoha
zzc2EjlICUg,別れ／夜のひと笑い【Hanon×Kotoha】,2022/09/11,MARUMOCHI from HoneyWorks,880140,"ハコニワリリィ,Hanon,Kotoha"
O-sHoI0zVso,センパイ。／星川サラ×Hanon×Kotoha【歌ってみた】,2022/8/24,MARUMOCHI from HoneyWorks,1365196,"ハコニワリリィ,Hanon,Kotoha"
WjKuCbwy180,なんでもないや／RADWIMPS【Covered by Hanon】,2022/8/23,Hanon,406375,Hanon
u6uAvFAqNYE,心拍数♯0822 / 蝶々P【Covered by Kotoha】,2022/08/22,Kotoha,1451957,Kotoha
WuNXkeFXp_U,私は最強／Ado（ウタ from ONE PIECE FILM RED）【Covered by Hanon】,2022/08/20,Hanon,1351571,Hanon
QvFe1gsTZjQ,おとせサンダー / ぼっちぼろまる【Hanon×Kotoha】,2022/08/17,Kotoha,285903,"ハコニワリリィ,Hanon,Kotoha"
j7eASOVNt74,QUEEN／Kanaria 歌ってみた【Hanon】,2022/08/16,Hanon,219699,Hanon
_p1gr0d3yU0,タイムマシン / 優里【Covered by Kotoha】,2022/08/15,Kotoha,617284,Kotoha
g_Adcg6P1P0,魔法のない世界で生きるということ／ユルーカ研究所【Covered by Kotoha】,2022/08/13,Kotoha,3847422,Kotoha
iexkryXR0Qk,ハレンチ／ちゃんみな【Covered by Hanon】,2022/8/13,Hanon,298010,Hanon
MyLTz49CQT4,魔法のない世界で生きるということ／ユルーカ研究所【Covered by Hanon】,2022/08/12,Hanon,305114,Hanon
KKgl21biKuw,左右盲 / ヨルシカ【Covered by Kotoha】,2022/08/11,Kotoha,358732,Kotoha
blAQ1mhx6xs,君の視界に僕の声流れるまで／ハコニワリリィ（Hanon）【Music Video】,2022/08/06,MARUMOCHI from HoneyWorks,110580,Hanon
8wasgk0MSQ8,『ビビっとラブ 』歌ってみた　【Hanon × Kotoha】,2022/08/01,Hanon,564688,"ハコニワリリィ,Hanon,Kotoha"
pohLsD0qipE,Promise／Da-iCE【Covered by Hanon】,2022/07/14,Hanon,309630,Hanon
_8bEKNRGmsg,僕が死のうと思ったのは / 中島美嘉【Covered by Kotoha】,2022/07/13,Kotoha,506777,Kotoha
dypWZnGpUCM,制服のままで／ハコニワリリィ(Hanon)【Music Video】,2022/07/10,MARUMOCHI from HoneyWorks,105373,Hanon
0wGvSmOMeNU,愛言葉Ⅳ / DECO*27【Covered by Kotoha】,2022/07/02,Kotoha,3074705,Kotoha
WDgayUYRCP4,『ナイ。』 MUSIC VIDEO 実写ver.【Hanon】,2022/06/30,Hanon,110370,Hanon
amPkwDvUays,ただ声一つ / ロクデナシ【Covered by Kotoha】,2022/06/03,Kotoha,2286776,Kotoha
fuXSoyuXBYM,ハコニワリリィ『キョリ感』 (アニメ「阿波連さんははかれない」EDテーマ) 【Music Video】,2022/05/25,MARUMOCHI from HoneyWorks,2958432,"ハコニワリリィ,Hanon,Kotoha"
59Rh28s-xe0,推し変なんて許さない！／可憐なアイボリー【Hanon×Kotoha】,2022/05/22,Kotoha,517770,"ハコニワリリィ,Hanon,Kotoha"
wyYEV0mkq10,うらたねこ♂／うらたぬき×HoneyWorks【Hanon】,2022/05/14,Hanon,150611,Hanon
35FxbLTlGNI,あの夏が飽和する。 / カンザキイオリ【Covered by Kotoha】,2022/05/11,Kotoha,4833329,Kotoha
a-bBphBRSFw,ミックスナッツ／Official髭男dism【Covered by Hanon】『SPY×FAMILY OP主題歌』Mixed Nuts,2022/05/10,Hanon,1464868,Hanon
OTRcHcyolUM,うらたねこ♀ / うらたぬき×HoneyWorks【Covered by Kotoha】,2022/05/07,Kotoha,681864,Kotoha
WVEw2HkF9DQ,金木犀／くじら【Covered by Hanon】,2022/04/30,Hanon,204907,Hanon
OvLE3VQ18UY,Calc. / ジミーサムP【Covered by Kotoha】,2022/4/27,Kotoha,1191965,Kotoha
adNUyNRvmuU,Sincerely／TRUE【Covered by Hanon】ヴァイオレット・エヴァーガーデン』OP主題歌,2022/4/25,Hanon,338742,Hanon
807atqeFsVA,全部君のせいだ / イチョウ【Covered by Kotoha】,2022/04/12,Kotoha,532011,Kotoha
1R_PRloutY8,キャットラビング / 香椎モイミ【Covered by Kotoha】,2022/04/03,Kotoha,593337,Kotoha
TZC02UdbStM,群青 / YOASOBI【Covered by Kotoha】,2022/03/29,Kotoha,648168,Kotoha
UxnPjKUdHZE,カメレオン／King Gnu【Covered by Hanon】,2022/03/28,Hanon,463324,Hanon
BNf4IghgI28,"悪魔の子／ヒグチアイ【Covered by Hanon】『進撃の巨人 The Final Season ED』""Akuma no ko"" Attack on Titan",2022/03/22,Hanon,467778,Hanon
8VpKAcpmcfA,ド屑 / なきそ【Covered by Kotoha】,2022/03/20,Kotoha,908489,Kotoha
riXwxoonVJs,CH4NGE / Giga【cover】,2022/03/12,Kotoha,741952,Kotoha
1oEjz4X-q0E,シンシアリー / しまも【Covered by Kotoha】,2022/03/07,Kotoha,179696,Kotoha
Wg0FqDvks4M,【誕生日記念】僕のこと／Mrs. GREEN APPLE【Covered by Hanon】,2022/03/06,Hanon,672309,Hanon
aZm92Iv4l1c,W/X/Y／Tani Yuuki【Covered by Hanon】,2022/03/01,Hanon,5391254,Hanon
-1SmP0jst1Y,キャラクター／緑黄色社会【Covered by Hanon】- Character/Ryokuoushoku Shakai -,2022/02/15,Hanon,228356,Hanon
fEv7tsjx7TU,だきしめるまで。 / MIMI【Covered by Kotoha】,2022/02/14,Kotoha,18487433,Kotoha
KxmplNnFPvg,my crush / 香椎モイミ【Covered by Kotoha】,2022/02/10,Kotoha,1003573,Kotoha
LRfS1tb57k8,先生に言っちゃお／イチョウ【Covered by Hanon】,2022/02/05,Hanon,75051,Hanon
IC7f_cBtus8,スパークル / 幾田りら【Covered by Kotoha】,2022/01/31,Kotoha,1037417,Kotoha
VaG4At9-N-A,陽キャJKに憧れる陰キャJKの歌 / Kotoha Ver.,2022/01/24,Kotoha,572684,Kotoha
Hf1fvrRXK_U,陽キャJKに憧れる陰キャJKの歌／Hanon ver.,2022/01/23,Hanon,885989,Hanon
fZS4k2Yg1ek,レオ / 優里【Covered by Kotoha】,2022/01/18,Kotoha,4359408,Kotoha
sB-gNKu8lLw,ハンコウ予告／可憐なアイボリー【Hanon×Kotoha】,2022/01/12,Hanon,622077,"ハコニワリリィ,Hanon,Kotoha"
4ECHYqn01aI,いつだって戦ってる / 可憐なアイボリー【Hanon×Kotoha】,2022/01/02,Kotoha,306969,"ハコニワリリィ,Hanon,Kotoha"
bh8MATKKLAU,「鬼滅の刃-遊郭編-OP」残響散歌／Aimer【Covered by Hanon】zankyosanka,2021/12/30,Hanon,1630839,Hanon
d_VIsKGSDXU,メリクリ／BoA【Covered by Hanon】,2021/12/25,Hanon,481025,Hanon
KSsqnp53Ld0,白い恋人達 / 桑田佳祐【Covered by Kotoha】,2021/12/25,Kotoha,394917,Kotoha
MbId3aPHaE0,【まるもち部】白い雪のプリンセスは【Hanon×めぐ×Kotoha】,2021/12/24,めぐちゃんねる,768037,"ハコニワリリィ,Hanon,Kotoha"
v6T42bCfa-I,点描の唄／Mrs. GREEN APPLE feat. 井上苑子【Hanon & Kevin】,2021/12/20,Hanon,588477,Hanon
wJ8tEU0vOrM,神っぽいな / ピノキオピー【Covered by Kotoha】,2021/12/19,Kotoha,1339939,Kotoha
qQEbHEjne9M,初めての恋が終わる時 / ryo(supercell)【Covered by Kotoha】,2021/12/12,Kotoha,1874153,Kotoha
uJai7weQbYw,初めての恋が終わる時／ryo (supercell)【Covered by Hanon】,2021/12/12,Hanon,430617,Hanon
9G0b3MMSe58,Cry Baby／Official髭男dism【Covered by Hanon】,2021/12/06,Hanon,503355,Hanon
iEYQdN7ioGY,勝たんしか症候群 / たかやん【Covered by Kotoha】,2021/12/4,Kotoha,397332,Kotoha
i6rxG_guGGU,常緑 / 大橋ちっぽけ【Covered by Kotoha】,2021/11/26,Kotoha,715909,Kotoha
guKsDd3omfY,なんでもないよ、／マカロニえんぴつ【Covered by Hanon】,2021/11/22,Hanon,1186357,Hanon
nPfWr9zH5LU,ツバメ / YOASOBI feat.ミドリーズ【Covered by Kotoha】,2021/11/18,Kotoha,575575,Kotoha
gtbbk-C35o0,ツバメ／YOASOBI with ミドリーズ【Covered by Hanon】,2021/11/18,Hanon,241362,Hanon
sWUc_y1E5W0,シンデレラボーイ／Saucy Dog【Covered by Hanon】,2021/11/14,Hanon,1095425,Hanon
yKLJQl8tG6Q,ワライカタ／夜のひと笑い【Hanon×Kotoha ver.】,2021/11/12,MARUMOCHI from HoneyWorks,2320527,"ハコニワリリィ,Hanon,Kotoha"
iJmQyNBcMIs,Oz. / yama【Covered by Kotoha】,2021/11/10,Kotoha,661138,Kotoha
dyzT9gmap28,【MV】好きぴしか勝たん！／Hanon×Kotoha feat.MARUMOCHI【オリジナル】,2021/11/05,MARUMOCHI from HoneyWorks,325745,"ハコニワリリィ,Hanon,Kotoha"
xKhrCYvV0fw,"『鬼滅の刃-無限列車編-OP』明け星／LiSA【Covered by Hanon】（Akeboshi, Demon Slayer）",2021/11/02,Hanon,600752,Hanon
rNiD3CMe1Qo,ベテルギウス / 優里【Covered by Kotoha】,2021/11/01,Kotoha,4704040,Kotoha
hI5Uucf6vyE,MIRROR MIRROR / 平井 大【Covered by Kotoha】,2021/10/29,Kotoha,346715,Kotoha
dfyprv_wqww,きらり／藤井風【Covered by Hanon】,2021/10/28,Hanon,358575,Hanon
H6VQqOoDeDE,トンデモワンダーズ / sasakure.UK【Covered by Kotoha】,2021/10/24,Kotoha,748807,Kotoha
_qJFQnBhKzc,弱者／konoco【Covered by Hanon】,2021/10/24,Hanon,47550,Hanon
kUQXIxK1fpI,ベテルギウス／優里【Covered by Hanon】（Betelgeuse／Yuuri）,2021/10/17,Hanon,4204398,Hanon
1amBZtg2SB0,弱者 / konoco【Covered by Kotoha】,2021/10/17,Kotoha,117279,Kotoha
nAir4T-sh24,お注射しちゃいます /  Kotoha ver.,2021/10/09,Kotoha,268019,Kotoha
s1a5fiDJGbw,マジェスティックラブ／Hanon ver.,2021/10/09,Hanon,61363,Hanon
9fiWF0yuG_Y,ありのまんまが愛しい君へ / DISH//【Covered by Kotoha】,2021/10/07,Kotoha,263843,Kotoha
t_zZkWCp4XA,黄色／back number【Covered by Hanon】,2021/10/05,Hanon,610527,Hanon
tofEaDMgJus,虹／二宮和也（嵐）【Covered by Hanon】,2021/9/28,Hanon,320146,Hanon
UwWiXJ41uzo,恋色 / もさを。【Covered by Kotoha】,2021/9/27,Kotoha,842773,Kotoha
pWUPlkPahsQ,推し★ごと／HoneyWorks feat.かぴ【Covered by Kotoha】,2021/09/26,Kotoha,264556,Kotoha
owyvSO7qNY0,推し★ごと／HoneyWorks feat.かぴ【Covered by Hanon】,2021/9/26,Hanon,217004,Hanon
2A83v4N-G6k,夜撫でるメノウ / Ayase 【Covered by Kotoha】,2021/9/22,Kotoha,1148941,Kotoha
DhnV1ADav1g,夏風に溶ける / りりあ。・南雲ゆうき - MAISONdes【Covered by Kotoha】,2021/09/20,Kotoha,157901,Kotoha
SmrPNzrBPHs,『お注射しちゃいます』ハコニワリリィ(Hanon)【Music Video】,2021/09/19,MARUMOCHI from HoneyWorks,229668,Hanon
_ti27cx7nUA,『マジェスティックラブ』ハコニワリリィ(Kotoha)【Music Video】,2021/9/18,MARUMOCHI from HoneyWorks,105989,Kotoha
qBhvLKzVi4A,遊生夢死／Eve【Covered by Hanon】,2021/9/17,Hanon,130751,Hanon
ykNtxK8Th5s,大正浪漫 ／YOASOBI【Covered by Hanon】,2021/9/16,Hanon,513922,Hanon
PID_3lV8gJU,ラブレター / YOASOBI【Covered by Kotoha】,2021/09/12,Kotoha,784819,Kotoha
kt2-3wB68mQ,赤い糸／天月-あまつき-【Covered by Hanon】,2021/09/12,Hanon,155328,Hanon
LHtNEN-b6BU,世界中の誰よりきっと／中山美穂＆WANDS【Hanon×Kotoha】,2021/09/05,Hanon,574872,"ハコニワリリィ,Hanon,Kotoha"
l1xUECl5MGs,ハコニワリリィ『きっと仲直り』【Music Video】,2021/09/04,MARUMOCHI from HoneyWorks,228055,"ハコニワリリィ,Hanon,Kotoha"
9TxL2y1tZDs,secret base~君がくれたもの~ / ZONE【Covered by Kotoha】,2021/08/31,Kotoha,790751,Kotoha
c3IeeS-bjhQ,小悪魔だってかまわない！ -Acoustic ver- feat. Hanon,2021/08/29,HoneyWorks OFFICIAL,753852,Hanon
9LLBx3wgqow,17歳／mona【Covered by Hanon】,2021/08/24,Hanon,218437,Hanon
jX_DgxmAMZM,夜に駆ける／YOASOBI【Covered by Kotoha】,2021/08/22,Kotoha,594755,Kotoha
dNNZREIU5J0,FUZI × DECO*27 - 涙色スカイ(feat. Kotoha),2021/08/21,FUZI,104324,Kotoha
a9xUhBc2Sco,映画「猫の恩返し」風になる／つじあやの【Covered by Hanon】,2021/08/20,Hanon,470456,Hanon
FOTN1vKUqus,ハコニワリリィ『コガネゾラ』 (アニメ「SDガンダムワールド ヒーローズ」EDテーマ) 【Music Video】,2021/08/16,MARUMOCHI from HoneyWorks,330480,"ハコニワリリィ,Hanon,Kotoha"
yxTcZdHNJtE,神のまにまに／れるりり【まるもち部×HoneyWorks BAND】,2021/08/15,めぐちゃんねる,513828,"ハコニワリリィ,Hanon,Kotoha"
QbZL8LbKolQ,ヨワネハキ / 和ぬか・asmi - MAISONdes【Covered by Kotoha】,2021/08/09,Kotoha,670092,Kotoha
T9BY8ReZh1I,青空のラプソディ／fhána 【Hanon × Kotoha】,2021/08/08,Kotoha,1418971,"ハコニワリリィ,Hanon,Kotoha"
kmH0EPyPgkw,【MV】ラブガンナー／Hanon×Kotoha feat.MARUMOCHI BOYS【オリジナル】,2021/08/01,MARUMOCHI from HoneyWorks,526095,"ハコニワリリィ,Hanon,Kotoha"
bDzAAI-KDc0,映画「時をかける少女」変わらないもの／奥華子【Covered by Hanon】,2021/07/30,Hanon,652571,Hanon
rVg0hxwRLgI,君と夏フェス / SHISHAMO【Covered by Kotoha】,2021/07/29,Kotoha,536486,Kotoha
0ex9LzLCIQU,ヒロインたるもの！ / HoneyWorks【Covered by Kotoha】,2021/07/25,Kotoha,215220,Kotoha
nv-CCJAqijU,ヒロインたるもの！／HoneyWorks【Covered by Hanon】,2021/07/25,Hanon,108653,Hanon
S8YWAMdupDA,Beat Eater /  Police Piccadilly 【Covered by Kotoha】,2021/07/24,Kotoha,447617,Kotoha
srzVhDN2zME,シャッター / 優里【Covered by Kotoha】,2021/07/15,Kotoha,1677413,Kotoha
-TcBZiit5a8,Into The Night (「夜に駆ける」English Ver.)／YOASOBI【Covered by Hanon】,2021/07/11,Hanon,533809,Hanon
P6CqAMUUdLc,怪盗／back number【Covered by Hanon】,2021/07/09,Hanon,521971,Hanon
vHZcaNiymXI,もう少しだけ / YOASOBI【Covered by Kotoha】,2021/07/08,Kotoha,404281,Kotoha
TI43_Sy8QAM,CITRUS／Da-iCE【Covered by Hanon】,2021/06/21,Hanon,1949926,Hanon
k3bxL2hVZPA,【MV】一緒なら／Hanon×Kotoha feat.水野あつ【オリジナル】,2021/06/11,MARUMOCHI from HoneyWorks,123213,"ハコニワリリィ,Hanon,Kotoha"
4PMbcE6BKsw,シル・ヴ・プレジデント【ナナホシ管弦楽団】／P丸様。【Covered by Kotoha】,2021/06/07,Kotoha,603583,Kotoha
rqHdVxoWXkI,【MV】Wave／Hanon×Kotoha feat.DECO*27【オリジナル】,2021/06/06,MARUMOCHI from HoneyWorks,387588,"ハコニワリリィ,Hanon,Kotoha"
BLihH3vfOUw,ミライチズ／夜のひと笑い【Hanon×Kotoha ver.】,2021/06/05,MARUMOCHI from HoneyWorks,2643625,"ハコニワリリィ,Hanon,Kotoha"
N1v9De-clAo,【MV】ハロウィンナイトパーティ／HoneyWorks feat. Hanon×Kotoha【オリジナル】,2021/06/04,MARUMOCHI from HoneyWorks,264128,"ハコニワリリィ,Hanon,Kotoha"
mRbhNe7imX0,【Japanese Girl】Butter／BTS(방탄소년단)【Covered by Hanon】,2021/06/03,Hanon,718052,Hanon
SK0SBbaYVeM,【MV】にゃんにゃんおやつクッキング／HoneyWorks feat. Hanon×Kotoha,2021/06/02,MARUMOCHI from HoneyWorks,104518,"ハコニワリリィ,Hanon,Kotoha"
5Axq8DF3s60,【MV】大人禁猟区／HoneyWorks feat. Hanon×Kotoha【オリジナル】,2021/05/31,MARUMOCHI from HoneyWorks,223518,"ハコニワリリィ,Hanon,Kotoha"
UBijT9wLuO0,【MV】サマー様／HoneyWorks feat. Hanon×Kotoha【オリジナル】,2021/05/29,MARUMOCHI from HoneyWorks,384723,"ハコニワリリィ,Hanon,Kotoha"
ys1NW9FmPCQ,水平線／back number【Covered by Hanon】,2021/05/28,Hanon,1382467,Hanon
QnVLFQxdMuM,そっけない / RADWIMPS【Covered by Kotoha】,2021/5/27,Kotoha,574444,Kotoha
5aH1F29D4eU,ごめんなんか聞きたくなかった／こはならむ×HoneyWorks【Covered by Hanon】,2021/5/21,Hanon,370490,Hanon
